#framenumber time energy filename iter
1541 0.7705 0 worm_001541.vtu 0
1551 0.7755 0 worm_001551.vtu 0
1561 0.7805 0 worm_001561.vtu 0
1571 0.7855 0 worm_001571.vtu 0
1581 0.7905 0 worm_001581.vtu 0
1591 0.7955 0 worm_001591.vtu 0
1601 0.8005 0 worm_001601.vtu 0
1611 0.8055 0 worm_001611.vtu 0
1621 0.8105 0 worm_001621.vtu 0
1631 0.8155 0 worm_001631.vtu 0
1641 0.8205 0 worm_001641.vtu 0
1651 0.8255 0 worm_001651.vtu 0
1661 0.8305 0 worm_001661.vtu 0
1671 0.8355 0 worm_001671.vtu 0
1681 0.8405 0 worm_001681.vtu 0
1691 0.8455 0 worm_001691.vtu 0
1701 0.8505 0 worm_001701.vtu 0
1711 0.8555 0 worm_001711.vtu 0
1721 0.8605 0 worm_001721.vtu 0
1731 0.8655 0 worm_001731.vtu 0
1741 0.8705 0 worm_001741.vtu 0
1751 0.8755 0 worm_001751.vtu 0
1761 0.8805 0 worm_001761.vtu 0
1771 0.8855 0 worm_001771.vtu 0
1781 0.8905 0 worm_001781.vtu 0
1791 0.8955 0 worm_001791.vtu 0
1801 0.9005 0 worm_001801.vtu 0
1811 0.9055 0 worm_001811.vtu 0
1821 0.9105 0 worm_001821.vtu 0
1831 0.9155 0 worm_001831.vtu 0
1841 0.9205 0 worm_001841.vtu 0
1851 0.9255 0 worm_001851.vtu 0
1861 0.9305 0 worm_001861.vtu 0
1871 0.9355 0 worm_001871.vtu 0
1881 0.9405 0 worm_001881.vtu 0
1891 0.9455 0 worm_001891.vtu 0
1901 0.9505 0 worm_001901.vtu 0
1911 0.9555 0 worm_001911.vtu 0
1921 0.9605 0 worm_001921.vtu 0
1931 0.9655 0 worm_001931.vtu 0
1941 0.9705 0 worm_001941.vtu 0
1951 0.9755 0 worm_001951.vtu 0
1961 0.9805 0 worm_001961.vtu 0
1971 0.9855 0 worm_001971.vtu 0
1981 0.9905 0 worm_001981.vtu 0
1991 0.9955 0 worm_001991.vtu 0
2001 1.0005 0 worm_002001.vtu 0
2011 1.0055 0 worm_002011.vtu 0
2021 1.0105 0 worm_002021.vtu 0
2031 1.0155 0 worm_002031.vtu 0
2041 1.0205 0 worm_002041.vtu 0
2051 1.0255 0 worm_002051.vtu 0
2061 1.0305 0 worm_002061.vtu 0
2071 1.0355 0 worm_002071.vtu 0
2081 1.0405 0 worm_002081.vtu 0
2091 1.0455 0 worm_002091.vtu 0
2101 1.0505 0 worm_002101.vtu 0
2111 1.0555 0 worm_002111.vtu 0
2121 1.0605 0 worm_002121.vtu 0
2131 1.0655 0 worm_002131.vtu 0
2141 1.0705 0 worm_002141.vtu 0
2151 1.0755 0 worm_002151.vtu 0
2161 1.0805 0 worm_002161.vtu 0
2171 1.0855 0 worm_002171.vtu 0
2181 1.0905 0 worm_002181.vtu 0
2191 1.0955 0 worm_002191.vtu 0
2201 1.1005 0 worm_002201.vtu 0
2211 1.1055 0 worm_002211.vtu 0
2221 1.1105 0 worm_002221.vtu 0
2231 1.1155 0 worm_002231.vtu 0
2241 1.1205 0 worm_002241.vtu 0
2251 1.1255 0 worm_002251.vtu 0
2261 1.1305 0 worm_002261.vtu 0
2271 1.1355 0 worm_002271.vtu 0
2281 1.1405 0 worm_002281.vtu 0
2291 1.1455 0 worm_002291.vtu 0
2301 1.1505 0 worm_002301.vtu 0
2311 1.1555 0 worm_002311.vtu 0
2321 1.1605 0 worm_002321.vtu 0
2331 1.1655 0 worm_002331.vtu 0
2341 1.1705 0 worm_002341.vtu 0
2351 1.1755 0 worm_002351.vtu 0
2361 1.1805 0 worm_002361.vtu 0
2371 1.1855 0 worm_002371.vtu 0
2381 1.1905 0 worm_002381.vtu 0
2391 1.1955 0 worm_002391.vtu 0
2401 1.2005 0 worm_002401.vtu 0
2411 1.2055 0 worm_002411.vtu 0
2421 1.2105 0 worm_002421.vtu 0
2431 1.2155 0 worm_002431.vtu 0
2441 1.2205 0 worm_002441.vtu 0
2451 1.2255 0 worm_002451.vtu 0
2461 1.2305 0 worm_002461.vtu 0
2471 1.2355 0 worm_002471.vtu 0
2481 1.2405 0 worm_002481.vtu 0
2491 1.2455 0 worm_002491.vtu 0
2501 1.2505 0 worm_002501.vtu 0
2511 1.2555 0 worm_002511.vtu 0
2521 1.2605 0 worm_002521.vtu 0
2531 1.2655 0 worm_002531.vtu 0
2541 1.2705 0 worm_002541.vtu 0
2551 1.2755 0 worm_002551.vtu 0
2561 1.2805 0 worm_002561.vtu 0
2571 1.2855 0 worm_002571.vtu 0
2581 1.2905 0 worm_002581.vtu 0
2591 1.2955 0 worm_002591.vtu 0
2601 1.3005 0 worm_002601.vtu 0
2611 1.3055 0 worm_002611.vtu 0
2621 1.3105 0 worm_002621.vtu 0
2631 1.3155 0 worm_002631.vtu 0
2641 1.3205 0 worm_002641.vtu 0
2651 1.3255 0 worm_002651.vtu 0
2661 1.3305 0 worm_002661.vtu 0
2671 1.3355 0 worm_002671.vtu 0
2681 1.3405 0 worm_002681.vtu 0
2691 1.3455 0 worm_002691.vtu 0
2701 1.3505 0 worm_002701.vtu 0
2711 1.3555 0 worm_002711.vtu 0
2721 1.3605 0 worm_002721.vtu 0
2731 1.3655 0 worm_002731.vtu 0
2741 1.3705 0 worm_002741.vtu 0
2751 1.3755 0 worm_002751.vtu 0
2761 1.3805 0 worm_002761.vtu 0
2771 1.3855 0 worm_002771.vtu 0
2781 1.3905 0 worm_002781.vtu 0
2791 1.3955 0 worm_002791.vtu 0
2801 1.4005 0 worm_002801.vtu 0
2811 1.4055 0 worm_002811.vtu 0
2821 1.4105 0 worm_002821.vtu 0
2831 1.4155 0 worm_002831.vtu 0
2841 1.4205 0 worm_002841.vtu 0
2851 1.4255 0 worm_002851.vtu 0
2861 1.4305 0 worm_002861.vtu 0
2871 1.4355 0 worm_002871.vtu 0
2881 1.4405 0 worm_002881.vtu 0
2891 1.4455 0 worm_002891.vtu 0
2901 1.4505 0 worm_002901.vtu 0
2911 1.4555 0 worm_002911.vtu 0
2921 1.4605 0 worm_002921.vtu 0
2931 1.4655 0 worm_002931.vtu 0
2941 1.4705 0 worm_002941.vtu 0
2951 1.4755 0 worm_002951.vtu 0
2961 1.4805 0 worm_002961.vtu 0
2971 1.4855 0 worm_002971.vtu 0
2981 1.4905 0 worm_002981.vtu 0
2991 1.4955 0 worm_002991.vtu 0
3001 1.5005 0 worm_003001.vtu 0
3011 1.5055 0 worm_003011.vtu 0
3021 1.5105 0 worm_003021.vtu 0
3031 1.5155 0 worm_003031.vtu 0
3041 1.5205 0 worm_003041.vtu 0
3051 1.5255 0 worm_003051.vtu 0
3061 1.5305 0 worm_003061.vtu 0
3071 1.5355 0 worm_003071.vtu 0
3081 1.5405 0 worm_003081.vtu 0
3091 1.5455 0 worm_003091.vtu 0
3101 1.5505 0 worm_003101.vtu 0
3111 1.5555 0 worm_003111.vtu 0
3121 1.5605 0 worm_003121.vtu 0
3131 1.5655 0 worm_003131.vtu 0
3141 1.5705 0 worm_003141.vtu 0
3151 1.5755 0 worm_003151.vtu 0
